calibration method,metric,model,comb
temperature scaling,cwECE (MT),0.02333508738936455,0.011350729483552464
temperature scaling,cwECE (WNT),0.007351614499299443,0.004450635307059699
temperature scaling,cwECE (MNT),0.004297968162078903,0.001588533942347543
temperature scaling,NLL,0.3370139116719663,0.44721840030706544
ensemble temperature scaling,ECE (W),0.015046574711756692,0.015466248662437733
ensemble temperature scaling,ECE (M),0.01449480200861193,0.015282615201197895
ensemble temperature scaling,cwECE (WT),0.04816321197949193,0.031236407109132135
ensemble temperature scaling,cwECE (MT),0.02214518936309189,0.011481610455880474
ensemble temperature scaling,cwECE (WNT),0.007424375738019162,0.004441829284495542
ensemble temperature scaling,cwECE (MNT),0.004540007347599287,0.0016366534349908173
ensemble temperature scaling,NLL,0.3392760596311036,0.45338831739868657
imax binning,ECE (W),0.009170581700942057,0.01724045716257766
imax binning,ECE (M),0.009170581700942065,0.01732612585552925
imax binning,cwECE (WT),0.041140472826000626,0.03263673500154032
imax binning,cwECE (MT),0.021017359213117717,0.012579374075241807
imax binning,cwECE (WNT),0.00643731478363241,0.004719819076688499
imax binning,cwECE (MNT),0.0037882536589238986,0.0016552236103450275
imax binning,NLL,0.3461233446235799,0.4570541257449127
none,ECE (W),0.05184005333333337,0.02125828227856484
none,ECE (M),0.051472740000000065,0.020348776187885335
none,cwECE (WT),0.06784846764728367,0.03506627370343151
none,cwECE (MT),0.03519911091200549,0.01547966504801077
none,cwECE (WNT),0.012057785698994569,0.005449397688517553
none,cwECE (MNT),0.00652641429326274,0.0018734926592056922
none,NLL,0.3579053335115598,0.36578602213160705
confusion,ECE (W),0.006044939478729874,0.018001833702142086
confusion,ECE (M),0.020102489667727985,0.009807249918129472
confusion,cwECE (WT),0.019916717951926323,0.03440968724475865
confusion,cwECE (MT),0.019916717951926323,0.015482426704128369
confusion,cwECE (WNT),0.004375119343207694,0.005032077694573899
confusion,cwECE (MNT),0.0060052236560327755,0.0026351222644699105
confusion,NLL,0.5829623279801214,0.45692158145418343
temperature scaling,ECE (W),0.013350347682382637,0.020609914509715974
temperature scaling,ECE (M),0.009678708362338638,0.019282662133765446
temperature scaling,cwECE (WT),0.0447702459079734,0.03229633938341152
temperature scaling,cwECE (MT),0.014896790440042237,0.015551623706968836
temperature scaling,cwECE (WNT),0.007233281684020534,0.005000165353690599
temperature scaling,cwECE (MNT),0.0037354297317554546,0.0016673516625248662
temperature scaling,NLL,0.305562501402938,0.35304389367579053
ensemble temperature scaling,ECE (W),0.01145042167318331,0.01853871115454793
ensemble temperature scaling,ECE (M),0.011661116544926131,0.018127360793070625
ensemble temperature scaling,cwECE (WT),0.04416786513255976,0.031338478346238055
ensemble temperature scaling,cwECE (MT),0.01547647115197664,0.014843082756375822
ensemble temperature scaling,cwECE (WNT),0.007407506312382792,0.004911286150452435
ensemble temperature scaling,cwECE (MNT),0.004157094552037799,0.0016758947888430502
ensemble temperature scaling,NLL,0.3094563927883375,0.35462006535426954
imax binning,ECE (W),0.012296555582828644,0.019815116677847355
imax binning,ECE (M),0.010202065947090434,0.01909399117960061
imax binning,cwECE (WT),0.03905723103228852,0.0317766495834357
imax binning,cwECE (MT),0.015023101051520433,0.015390813471036527
imax binning,cwECE (WNT),0.006631401965630756,0.004948583343577368
imax binning,cwECE (MNT),0.0037015992273810765,0.0016524763691325444
imax binning,NLL,0.3156267206646502,0.3565479853676805
none,ECE (W),0.056947779999999004,0.027207825086535666
none,ECE (M),0.05443467333333377,0.02492866492155268
none,cwECE (WT),0.0743293205251658,0.039805963534934194
none,cwECE (MT),0.04151105820801633,0.02021598481769752
none,cwECE (WNT),0.01359509000035096,0.006516306571713554
none,cwECE (MNT),0.007981862002052352,0.0020169375531084123
none,NLL,0.39904857494576707,0.5016635801066566
confusion,ECE (W),0.010061250280165253,0.014843163713973878
confusion,ECE (M),0.017570254490407063,0.012556036067470711
confusion,cwECE (WT),0.01751580761117797,0.03156612333663376
confusion,cwECE (MT),0.01751580761117797,0.014481680728675613
confusion,cwECE (WNT),0.00364312437924056,0.004866333001633613
confusion,cwECE (MNT),0.005807404605150882,0.0030816432868737706
confusion,NLL,0.7438705070005853,0.6954898085374711
temperature scaling,ECE (W),0.008872105554064575,0.022764342413140203
temperature scaling,ECE (M),0.006289776186896812,0.02235705842777968
temperature scaling,cwECE (WT),0.05059697524167497,0.03690525877303669
temperature scaling,cwECE (MT),0.021868807847646266,0.01731481048405902
temperature scaling,cwECE (WNT),0.007805238091862907,0.005752301586771683
temperature scaling,cwECE (MNT),0.00465232784992403,0.001680281859303918
temperature scaling,NLL,0.33310513440048006,0.4812014997332553
ensemble temperature scaling,ECE (W),0.013539432832786726,0.02341425455119725
ensemble temperature scaling,ECE (M),0.012486981485564675,0.021235349128926963
ensemble temperature scaling,cwECE (WT),0.048763389217278914,0.03612961147613728
ensemble temperature scaling,cwECE (MT),0.021172910148695743,0.016261356351973778
ensemble temperature scaling,cwECE (WNT),0.007554840475039008,0.005568329507862208
ensemble temperature scaling,cwECE (MNT),0.005027784987694668,0.0016273550651737668
ensemble temperature scaling,NLL,0.3372236031299725,0.4838918252850552
imax binning,ECE (W),0.01323612991376478,0.02341847559477881
imax binning,ECE (M),0.0132361299137648,0.021735224396697776
imax binning,cwECE (WT),0.046075032490795656,0.033851313252864994
imax binning,cwECE (MT),0.02172895855436843,0.01748814852329523
imax binning,cwECE (WNT),0.0070063006532601725,0.005423424906200066
imax binning,cwECE (MNT),0.004402978478133694,0.00170117402654468
imax binning,NLL,0.34018696355094064,0.4850898385674484
none,ECE (W),0.05176195333333322,0.02325110735406049
none,ECE (M),0.051263206666666394,0.02194109081892798
none,cwECE (WT),0.06572274246719978,0.037870468849833194
none,cwECE (MT),0.03864520213266402,0.019543310099787405
none,cwECE (WNT),0.012455142841184933,0.005910434042560466
none,cwECE (MNT),0.008080586033209035,0.002401304753965051
none,NLL,0.4108926847703066,0.3795962929208087
confusion,ECE (W),0.008422884596779505,0.013404841320241632
confusion,ECE (M),0.01183111249338769,0.014960968702412125
confusion,cwECE (WT),0.01170141674446483,0.02918400666512485
confusion,cwECE (MT),0.01170141674446483,0.015381369782236356
confusion,cwECE (WNT),0.0028324525065678277,0.004424862128656672
confusion,cwECE (MNT),0.004936372497065614,0.0029961530847578367
confusion,NLL,0.7294567700335889,0.5708929432902404
temperature scaling,ECE (W),0.016598613692832383,0.01845824161478343
temperature scaling,ECE (M),0.008690965190330673,0.016207134503240746
temperature scaling,cwECE (WT),0.04599982029040263,0.033435850688346126
temperature scaling,cwECE (MT),0.017133027052049006,0.012500079874684964
temperature scaling,cwECE (WNT),0.007299445233302293,0.004828648608243893
temperature scaling,cwECE (MNT),0.004411143741921747,0.0018077153662712925
temperature scaling,NLL,0.342029546959288,0.34975844655716926
ensemble temperature scaling,ECE (W),0.013346384242025375,0.01894005193440764
ensemble temperature scaling,ECE (M),0.008300033791235086,0.01547225271311364
ensemble temperature scaling,cwECE (WT),0.04567579691899846,0.03457529241587566
ensemble temperature scaling,cwECE (MT),0.01649657110454566,0.011129286771898986
ensemble temperature scaling,cwECE (WNT),0.0071105514661575315,0.004807575411037945
ensemble temperature scaling,cwECE (MNT),0.004611764215949179,0.001760294576867758
ensemble temperature scaling,NLL,0.34361951943845287,0.35214381393962557
imax binning,ECE (W),0.010120691696603182,0.017650110165160503
imax binning,ECE (M),0.009073072648984137,0.016675229012434293
imax binning,cwECE (WT),0.03996543336751492,0.03146710566523341
imax binning,cwECE (MT),0.016625229672605678,0.014786700229214106
imax binning,cwECE (WNT),0.006466853613054778,0.004904102080269649
imax binning,cwECE (MNT),0.004023644834390641,0.0019221461778912285
imax binning,NLL,0.3544541659075844,0.35655751269226804
none,ECE (W),0.05413465666666691,0.020850439491028543
none,ECE (M),0.05179115666666676,0.020458581711835705
none,cwECE (WT),0.06939029318245099,0.03755356867014821
none,cwECE (MT),0.04025364671282026,0.021672783343182588
none,cwECE (WNT),0.012897984093923533,0.005994276373537632
none,cwECE (MNT),0.007655402082068425,0.0032568151607711886
none,NLL,0.39845656533958385,0.4900753823633539
confusion,ECE (W),0.00889103615090751,0.016381304866545064
confusion,ECE (M),0.02194429844512183,0.01055002331642179
confusion,cwECE (WT),0.021642158047780448,0.03497634312650124
confusion,cwECE (MT),0.021642158047780448,0.018557824081449383
confusion,cwECE (WNT),0.003920867249650922,0.005174906974287892
confusion,cwECE (MNT),0.006145425633209812,0.003621519467691721
confusion,NLL,0.6071934058909861,0.692341344100478
temperature scaling,ECE (W),0.0067684950271229396,0.01985486001021815
temperature scaling,ECE (M),0.009354926208614127,0.016974703202505846
temperature scaling,cwECE (WT),0.047753549459471155,0.03598458969716372
temperature scaling,cwECE (MT),0.02168065010754868,0.01617505687430687
temperature scaling,cwECE (WNT),0.007266027648425042,0.005449881082024646
temperature scaling,cwECE (MNT),0.004581868023729828,0.002838605471705871
temperature scaling,NLL,0.3338825049828809,0.5743381558194124
ensemble temperature scaling,ECE (W),0.008901408700766673,0.018571025917234092
ensemble temperature scaling,ECE (M),0.010396151370886023,0.01742735411508272
ensemble temperature scaling,cwECE (WT),0.050322744485402415,0.0349624006129593
ensemble temperature scaling,cwECE (MT),0.022082738229470354,0.015828425441183486
ensemble temperature scaling,cwECE (WNT),0.00765494492517146,0.005369974303850298
ensemble temperature scaling,cwECE (MNT),0.004957902227791424,0.002841848492112622
ensemble temperature scaling,NLL,0.33735731836942284,0.5843936657822651
imax binning,ECE (W),0.012957924104107822,0.02068330925961766
imax binning,ECE (M),0.012957924104107888,0.020114420052893805
imax binning,cwECE (WT),0.034491185031285516,0.03335362902914766
imax binning,cwECE (MT),0.021196741774372748,0.017163337505737983
imax binning,cwECE (WNT),0.005909729296328827,0.005249045239063706
imax binning,cwECE (MNT),0.003697934005574744,0.002855880188955723
imax binning,NLL,0.3442162245962326,0.5885071526718776
none,ECE (W),0.04787557666666674,0.0176071240096602
none,ECE (M),0.04550895666666687,0.01734864242745947
none,cwECE (WT),0.06536447739636368,0.033793988860619295
none,cwECE (MT),0.03612895733663438,0.016440575852667852
none,cwECE (WNT),0.01169870643412093,0.005268468626363136
none,cwECE (MNT),0.006806442345618388,0.002366580485632458
none,NLL,0.3545366733355232,0.35518511392862523
confusion,ECE (W),0.013909839204816228,0.016233815376059446
confusion,ECE (M),0.017279495844271537,0.015453516945219126
confusion,cwECE (WT),0.017911034448315453,0.03220439389622918
confusion,cwECE (MT),0.017911034448315453,0.01439044643313148
confusion,cwECE (WNT),0.004210976086557571,0.00474647017098736
confusion,cwECE (MNT),0.006179750849908068,0.0028773139108204207
confusion,NLL,0.8466020248562802,0.7204445779840781
temperature scaling,ECE (W),0.013172393769281164,0.020590265222858707
temperature scaling,ECE (M),0.014546930482691109,0.019168984104347985
temperature scaling,cwECE (WT),0.049118427038956095,0.03385925406335664
temperature scaling,cwECE (MT),0.017058475597735993,0.013320642408007951
temperature scaling,cwECE (WNT),0.007655315604267481,0.004978885385533767
temperature scaling,cwECE (MNT),0.0039041514659313493,0.0016812294735989801
temperature scaling,NLL,0.3035982913273099,0.34812359037964663
ensemble temperature scaling,ECE (W),0.008429997548000036,0.019194499945748053
ensemble temperature scaling,ECE (M),0.011035609507907159,0.017361085902419218
ensemble temperature scaling,cwECE (WT),0.04689194807052266,0.033054155095203666
ensemble temperature scaling,cwECE (MT),0.017098567391768717,0.012363268233403146
ensemble temperature scaling,cwECE (WNT),0.0076074081511998725,0.0048588706367674985
ensemble temperature scaling,cwECE (MNT),0.004143837203678259,0.0017391504809914499
ensemble temperature scaling,NLL,0.30617737919138704,0.3497899667385816
imax binning,ECE (W),0.015761033014325312,0.018639509134340274
imax binning,ECE (M),0.015761033014325306,0.017458126100992934
imax binning,cwECE (WT),0.04318856434149111,0.0316914587961882
imax binning,cwECE (MT),0.01805671794963125,0.013091345852307663
imax binning,cwECE (WNT),0.006987034050712826,0.004827703965183649
imax binning,cwECE (MNT),0.0037210454526907166,0.0015863765968063739
imax binning,NLL,0.309892430033173,0.3518876920701635
none,ECE (W),0.051820836666667355,0.02587149191724946
none,ECE (M),0.05026794333333309,0.024746867818075374
none,cwECE (WT),0.06804202977066898,0.03910236991150296
none,cwECE (MT),0.03942273586094901,0.020553587244212405
none,cwECE (WNT),0.012771161691595433,0.006505985931458564
none,cwECE (MNT),0.007913914017256522,0.0033317586323356576
none,NLL,0.4034804291183241,0.32100027030433115
confusion,ECE (W),0.006277502798206031,0.019560321196739186
confusion,ECE (M),0.019085150676473154,0.016442611240523104
confusion,cwECE (WT),0.018256664666035965,0.037116774103391224
confusion,cwECE (MT),0.018256664666035965,0.02377719936137546
confusion,cwECE (WNT),0.004387982804053602,0.005775812837276297
confusion,cwECE (MNT),0.006866775821988932,0.004215649644607423
confusion,NLL,0.9675747191170884,0.7478550004206372
temperature scaling,ECE (W),0.016869972630150297,0.024623864862397878
temperature scaling,ECE (M),0.012065058963650049,0.02467106259424386
