calibration method,metric,model,comb
confusion,ECE (W),0.0023734898646711857,0.010189837538798398
confusion,ECE (M),0.012883477037997932,0.010600457553419101
confusion,cwECE (WT),0.013115638318031354,0.028120991041499187
confusion,cwECE (MT),0.013115638318031354,0.015253361501493135
confusion,cwECE (WNT),0.0022055817378369477,0.003952361053961663
confusion,cwECE (MNT),0.004043811045669303,0.002634208255377514
confusion,NLL,0.5635394267272624,0.6086374694367881
temperature scaling,ECE (W),0.009538718925324709,0.014070601113564302
temperature scaling,ECE (M),0.010021141462727078,0.01410913528299608
temperature scaling,cwECE (WT),0.03757522498840913,0.03161840535540558
temperature scaling,cwECE (MT),0.012888674715965368,0.01339214919642552
temperature scaling,cwECE (WNT),0.0054927516043444796,0.00425367499645209
temperature scaling,cwECE (MNT),0.0028187198418776886,0.001965650585667293
temperature scaling,NLL,0.20537316584158827,0.3614349460206336
ensemble temperature scaling,ECE (W),0.008219426280787426,0.01363440318862963
ensemble temperature scaling,ECE (M),0.010953569888050031,0.01342416424536464
ensemble temperature scaling,cwECE (WT),0.04036054336148507,0.03115587364458631
ensemble temperature scaling,cwECE (MT),0.013217800592787418,0.013575641419992799
ensemble temperature scaling,cwECE (WNT),0.005886145764575339,0.004192590674655326
ensemble temperature scaling,cwECE (MNT),0.0029875943425277393,0.0019973062638855266
ensemble temperature scaling,NLL,0.2055441011879526,0.36171845635249844
imax binning,ECE (W),0.007105943511936939,0.015142342809650003
imax binning,ECE (M),0.004000403213297886,0.014763477770959633
imax binning,cwECE (WT),0.028924436458934426,0.02912116579228936
imax binning,cwECE (MT),0.01430729440971092,0.013162751091054536
imax binning,cwECE (WNT),0.00457773008692591,0.004077125889910897
imax binning,cwECE (MNT),0.002732890377076575,0.0018274345521588266
imax binning,NLL,0.20953008507343726,0.36404078725904493
none,ECE (W),0.034136121084292786,0.021731041510307032
none,ECE (M),0.03242931339144708,0.021740524880309083
none,cwECE (WT),0.05184177152266813,0.0364447655865522
none,cwECE (MT),0.029934472735973404,0.01406321029216245
none,cwECE (WNT),0.008853579409422484,0.005279266889118893
none,cwECE (MNT),0.003634961779820714,0.0012864161189169933
none,NLL,0.24812261575880862,0.23512150368552562
confusion,ECE (W),0.0015447355633284288,0.01389567650161369
confusion,ECE (M),0.013279903245998839,0.012132257119581177
confusion,cwECE (WT),0.013269800021388311,0.030182870718615362
confusion,cwECE (MT),0.013269800021388311,0.01571200684794357
confusion,cwECE (WNT),0.002572641466229789,0.004322027800251262
confusion,cwECE (MNT),0.004051642978403778,0.0022523874464626956
confusion,NLL,0.5169795156696457,0.4713892507092647
temperature scaling,ECE (W),0.008202592580121905,0.013024562704415417
temperature scaling,ECE (M),0.008879426887443913,0.011014099267780348
temperature scaling,cwECE (WT),0.03394327368837518,0.02480183698854666
temperature scaling,cwECE (MT),0.012052508327952002,0.01040854676260312
temperature scaling,cwECE (WNT),0.00505573552338931,0.0036719316968433858
temperature scaling,cwECE (MNT),0.002665156600439742,0.0012170234510343225
temperature scaling,NLL,0.19716324950285674,0.20708038557489608
ensemble temperature scaling,ECE (W),0.01065196906961578,0.01384217628264187
ensemble temperature scaling,ECE (M),0.011315424655123295,0.010373417955592861
ensemble temperature scaling,cwECE (WT),0.036731782242989175,0.028439366939358085
ensemble temperature scaling,cwECE (MT),0.013585394667678755,0.010239527638604843
ensemble temperature scaling,cwECE (WNT),0.0054401960675313586,0.0041053416053778245
ensemble temperature scaling,cwECE (MNT),0.0029824788230827085,0.0012612113211422427
ensemble temperature scaling,NLL,0.19957115163652245,0.24550319265265785
imax binning,ECE (W),0.008730759858720282,0.015375360244923308
imax binning,ECE (M),0.009439979716881253,0.011014429516744917
imax binning,cwECE (WT),0.028241588396220117,0.02579244698656949
imax binning,cwECE (MT),0.011975645156690421,0.01088891449253365
imax binning,cwECE (WNT),0.004764454045267506,0.0038576711991447285
imax binning,cwECE (MNT),0.0023438938795848235,0.0012428646810116167
imax binning,NLL,0.20367022886407274,0.24568939164183182
none,ECE (W),0.031349106212456984,0.015875457574213905
none,ECE (M),0.027991104026635495,0.015068505136327596
none,cwECE (WT),0.05065490551702419,0.029732035268894758
none,cwECE (MT),0.027462612917528585,0.014381392222105513
none,cwECE (WNT),0.00837960571736147,0.004526641317438235
none,cwECE (MNT),0.004380231032573375,0.0016198102967970459
none,NLL,0.23490129007757662,0.32125258908292414
confusion,ECE (W),0.0024892165540430994,0.011868086992477048
confusion,ECE (M),0.0165441100025158,0.007664394760847053
confusion,cwECE (WT),0.016506704472932086,0.02952900163008994
confusion,cwECE (MT),0.016506704472932086,0.017577914052277346
confusion,cwECE (WNT),0.0034130087642464816,0.0039688623516776446
confusion,cwECE (MNT),0.004927842327068816,0.0025591489772022816
confusion,NLL,0.38940180614670394,0.5171363161982125
temperature scaling,ECE (W),0.010463137762750893,0.013582369806944734
temperature scaling,ECE (M),0.011396168663260852,0.01088694393628659
temperature scaling,cwECE (WT),0.04008892868939541,0.028916984253931067
temperature scaling,cwECE (MT),0.02003816017619537,0.009123703425357595
temperature scaling,cwECE (WNT),0.0059655193918302036,0.004014202155206806
temperature scaling,cwECE (MNT),0.003641539686971053,0.0010933955566372617
temperature scaling,NLL,0.1909860143353863,0.3800002409342273
ensemble temperature scaling,ECE (W),0.010237611197287897,0.012174121863387594
ensemble temperature scaling,ECE (M),0.01187168908531484,0.010455054739563277
ensemble temperature scaling,cwECE (WT),0.04031967954371287,0.02723565110848559
ensemble temperature scaling,cwECE (MT),0.01961347002065606,0.007991869802973096
ensemble temperature scaling,cwECE (WNT),0.005957168399661563,0.003846140382372313
ensemble temperature scaling,cwECE (MNT),0.0038363447148480013,0.001262666333080875
ensemble temperature scaling,NLL,0.19219765100759817,0.420444506030084
imax binning,ECE (W),0.006352611876783586,0.014018620449259302
imax binning,ECE (M),0.004052715752391421,0.01269654520532412
imax binning,cwECE (WT),0.03177735182490387,0.02507869895548882
imax binning,cwECE (MT),0.01884053388498574,0.009707961094295404
imax binning,cwECE (WNT),0.005167996169937058,0.003757186036730064
imax binning,cwECE (MNT),0.003256019571553727,0.001302612121650052
imax binning,NLL,0.1940264141271471,0.42061155294042124
none,ECE (W),0.027090655386447886,0.018518100906949164
none,ECE (M),0.026310379008452095,0.016666089723493732
none,cwECE (WT),0.043831650554043214,0.031304384961431696
none,cwECE (MT),0.02270516191432216,0.013812318961191544
none,cwECE (WNT),0.007407174642602708,0.004711021084398957
none,cwECE (MNT),0.0031179535917812097,0.0017230195302338123
none,NLL,0.22214484111692498,0.29857485211761625
confusion,ECE (W),0.008473047559771876,0.010243881049751297
confusion,ECE (M),0.012117825320954652,0.011028545466530183
confusion,cwECE (WT),0.012106174448435114,0.032583853325511135
confusion,cwECE (MT),0.012106174448435114,0.011886593026343989
confusion,cwECE (WNT),0.002295994808332165,0.004427440945549654
confusion,cwECE (MNT),0.0035703414309006505,0.00224784338927448
confusion,NLL,0.4890681225985085,0.5311111157004095
temperature scaling,ECE (W),0.00872321004753161,0.016344698060257033
temperature scaling,ECE (M),0.013254672879570698,0.014125042400150856
temperature scaling,cwECE (WT),0.03569706578160571,0.029248452382328823
temperature scaling,cwECE (MT),0.012724057799627814,0.011903061052307342
temperature scaling,cwECE (WNT),0.004957835021980219,0.00445020276997027
temperature scaling,cwECE (MNT),0.0026032375957535975,0.0017318068678765079
temperature scaling,NLL,0.18124600999464197,0.32154922427711713
ensemble temperature scaling,ECE (W),0.0073359884198496905,0.01690734772388902
ensemble temperature scaling,ECE (M),0.013123431495523662,0.014125422437525749
ensemble temperature scaling,cwECE (WT),0.03517869071403177,0.030245477381043627
ensemble temperature scaling,cwECE (MT),0.012994886450114198,0.011840600203679713
