calibration method,metric,model,comb
temperature scaling,ECE (W),0.009538718925324709,0.01332600273604831
temperature scaling,ECE (M),0.010021141462727078,0.010767095095826079
temperature scaling,cwECE (WT),0.03757522498840913,0.024926103669022207
temperature scaling,cwECE (MT),0.012888674715965368,0.009868851954400747
temperature scaling,cwECE (WNT),0.0054927516043444796,0.0036221390105333094
temperature scaling,cwECE (MNT),0.0028187198418776886,0.0015478387266729195
temperature scaling,NLL,0.20537316584158827,0.19090397008868404
ensemble temperature scaling,ECE (W),0.008219426280787426,0.012429134334475858
ensemble temperature scaling,ECE (M),0.010953569888050031,0.011189442677622282
ensemble temperature scaling,cwECE (WT),0.04036054336148507,0.023988548407910187
ensemble temperature scaling,cwECE (MT),0.013217800592787418,0.00979341051787205
ensemble temperature scaling,cwECE (WNT),0.005886145764575339,0.0035189012367643465
ensemble temperature scaling,cwECE (MNT),0.0029875943425277393,0.0015533178641644117
ensemble temperature scaling,NLL,0.2055441011879526,0.19183971008835166
imax binning,ECE (W),0.007105943511936939,0.0146177310259255
imax binning,ECE (M),0.004000403213297886,0.01193246004659734
imax binning,cwECE (WT),0.028924436458934426,0.022852541265912567
imax binning,cwECE (MT),0.01430729440971092,0.011509577299908941
imax binning,cwECE (WNT),0.00457773008692591,0.0035259301336237813
imax binning,cwECE (MNT),0.002732890377076575,0.0014470470994762162
imax binning,NLL,0.20953008507343726,0.19476557217003396
none,ECE (W),0.034136121084292786,0.015853595987083198
none,ECE (M),0.03242931339144708,0.01578222880241282
none,cwECE (WT),0.05184177152266813,0.028503028001224756
none,cwECE (MT),0.029934472735973404,0.010222181213186191
none,cwECE (WNT),0.008853579409422484,0.004015792201963407
none,cwECE (MNT),0.003634961779820714,0.0010577863617048208
none,NLL,0.24812261575880862,0.17469588765492525
confusion,ECE (W),0.0015447355633284288,0.00958522479358094
confusion,ECE (M),0.013279903245998839,0.0066863644863484895
confusion,cwECE (WT),0.013269800021388311,0.025302563741056272
confusion,cwECE (MT),0.013269800021388311,0.012458652862113475
confusion,cwECE (WNT),0.002572641466229789,0.0033319224855673027
confusion,cwECE (MNT),0.004051642978403778,0.0020494050586115312
confusion,NLL,0.5169795156696457,0.3941503744507697
temperature scaling,ECE (W),0.008202592580121905,0.010575832046938079
temperature scaling,ECE (M),0.008879426887443913,0.008759032389325058
temperature scaling,cwECE (WT),0.03394327368837518,0.022900381848350422
temperature scaling,cwECE (MT),0.012052508327952002,0.007622394534364953
temperature scaling,cwECE (WNT),0.00505573552338931,0.003184506302600829
temperature scaling,cwECE (MNT),0.002665156600439742,0.0012025690365990663
temperature scaling,NLL,0.19716324950285674,0.1854760060699986
ensemble temperature scaling,ECE (W),0.01065196906961578,0.011218205671813367
ensemble temperature scaling,ECE (M),0.011315424655123295,0.0086210708253869
ensemble temperature scaling,cwECE (WT),0.036731782242989175,0.023107957052086882
ensemble temperature scaling,cwECE (MT),0.013585394667678755,0.007262013547080263
ensemble temperature scaling,cwECE (WNT),0.0054401960675313586,0.003179007963532094
ensemble temperature scaling,cwECE (MNT),0.0029824788230827085,0.0012091048244149709
ensemble temperature scaling,NLL,0.19957115163652245,0.1878243466445996
imax binning,ECE (W),0.008730759858720282,0.011149209786212401
imax binning,ECE (M),0.009439979716881253,0.008816761587986112
imax binning,cwECE (WT),0.028241588396220117,0.02005241127107408
imax binning,cwECE (MT),0.011975645156690421,0.008665388512708202
imax binning,cwECE (WNT),0.004764454045267506,0.0029347601388032126
imax binning,cwECE (MNT),0.0023438938795848235,0.001178122633191117
imax binning,NLL,0.20367022886407274,0.18943052828268167
none,ECE (W),0.031349106212456984,0.018195134471788593
none,ECE (M),0.027991104026635495,0.016877804812700258
none,cwECE (WT),0.05065490551702419,0.03045070056866462
none,cwECE (MT),0.027462612917528585,0.01447200659634335
none,cwECE (WNT),0.00837960571736147,0.0044554753892204835
none,cwECE (MNT),0.004380231032573375,0.0017003300812900711
none,NLL,0.23490129007757662,0.21312507769295724
confusion,ECE (W),0.0024892165540430994,0.009070999022217197
confusion,ECE (M),0.0165441100025158,0.005845207095042689
confusion,cwECE (WT),0.016506704472932086,0.02518432320276432
confusion,cwECE (MT),0.016506704472932086,0.015563328134751486
confusion,cwECE (WNT),0.0034130087642464816,0.0035208556568955703
confusion,cwECE (MNT),0.004927842327068816,0.002174192925465792
confusion,NLL,0.38940180614670394,0.40214824803371874
temperature scaling,ECE (W),0.010463137762750893,0.013588316401773033
