calibration method,metric,model,comb
ensemble temperature scaling,NLL,0.35789516540581084,0.4974613152584448
imax binning,ECE (W),0.010972345081546445,0.016918178139604733
imax binning,ECE (M),0.010972345081546462,0.015992152516948157
imax binning,cwECE (WT),0.037756533748324536,0.027083745418021405
imax binning,cwECE (MT),0.01880442535295817,0.016969382391764785
imax binning,cwECE (WNT),0.006726331260120261,0.004384105417270927
imax binning,cwECE (MNT),0.0037089322654360957,0.0022069049648298683
imax binning,NLL,0.3690100783905433,0.5023277773722813
none,ECE (W),0.04614973666666547,0.02016457481181225
none,ECE (M),0.04477213666666671,0.019330584683341687
none,cwECE (WT),0.062313658509659434,0.0313872966715852
none,cwECE (MT),0.03569323059131998,0.015805954377785866
none,cwECE (WNT),0.0115692176103268,0.0049363125648287124
none,cwECE (MNT),0.007339099300517816,0.0023104380058192346
none,NLL,0.3804789592352942,0.5060298137933947
confusion,ECE (W),0.007664704708549851,0.012453379455970803
confusion,ECE (M),0.0148924300060287,0.010292587763733393
confusion,cwECE (WT),0.01625930449831066,0.025140469270896647
confusion,cwECE (MT),0.01625930449831066,0.016089640201533115
confusion,cwECE (WNT),0.0030619920381914517,0.003927691509005389
confusion,cwECE (MNT),0.004885478200357787,0.0028254506168257387
confusion,NLL,0.7688362296901456,0.7639185191775285
temperature scaling,ECE (W),0.012412384933608104,0.014428756922615138
temperature scaling,ECE (M),0.015715233726017956,0.013988595238982871
temperature scaling,cwECE (WT),0.04539811491075834,0.027160821043707296
temperature scaling,cwECE (MT),0.01927525126362766,0.012063378025957024
temperature scaling,cwECE (WNT),0.007189363133727781,0.0039185643279353605
temperature scaling,cwECE (MNT),0.004151040551169475,0.001823221733839004
temperature scaling,NLL,0.32231457733915225,0.4799618967582034
ensemble temperature scaling,ECE (W),0.01489369731451979,0.013522597319989654
ensemble temperature scaling,ECE (M),0.0166402098986692,0.012968993819421359
ensemble temperature scaling,cwECE (WT),0.048739960475570075,0.02779170159117435
ensemble temperature scaling,cwECE (MT),0.01979551556955977,0.012063345774111636
ensemble temperature scaling,cwECE (WNT),0.007685038244048009,0.004002792626871498
ensemble temperature scaling,cwECE (MNT),0.004336276295043769,0.001840174317190533
ensemble temperature scaling,NLL,0.32383856568418923,0.4802233080868159
imax binning,ECE (W),0.01023743811032207,0.014801653454267105
imax binning,ECE (M),0.009321687194571097,0.013995187282760438
imax binning,cwECE (WT),0.037931934414934074,0.02552330370324448
imax binning,cwECE (MT),0.019974366821281897,0.013467276913749248
imax binning,cwECE (WNT),0.0063718897792095445,0.003975638621076535
imax binning,cwECE (MNT),0.003821644807363711,0.0017901932441827706
imax binning,NLL,0.333432251026838,0.4813061052875392
none,ECE (W),0.052568430000000096,0.020810463157442897
none,ECE (M),0.052167576666666715,0.019551868185415107
none,cwECE (WT),0.06858670856000275,0.03133527489496071
none,cwECE (MT),0.03700178217211124,0.017406595469562698
none,cwECE (WNT),0.012678819293587445,0.005030941952004061
none,cwECE (MNT),0.008104448233229826,0.001986364361818749
none,NLL,0.4040786565820554,0.5055395749532148
confusion,ECE (W),0.007676167106916353,0.011266654558785146
confusion,ECE (M),0.020967531561371624,0.009975529525986447
confusion,cwECE (WT),0.02039866145923937,0.024205532370945245
confusion,cwECE (MT),0.02039866145923937,0.012573515422638484
confusion,cwECE (WNT),0.004844584742085279,0.003804393193941645
confusion,cwECE (MNT),0.006185805648048811,0.002361128742184808
confusion,NLL,0.7385001642723331,0.6868866046603922
temperature scaling,ECE (W),0.01716641244858943,0.012826794731872728
temperature scaling,ECE (M),0.01332259109055631,0.01268183607625155
temperature scaling,cwECE (WT),0.0475109777108552,0.026440462315018332
temperature scaling,cwECE (MT),0.02333508738936455,0.01118134916848534
temperature scaling,cwECE (WNT),0.007351614499299443,0.003931667439642777
temperature scaling,cwECE (MNT),0.004297968162078903,0.0014350375421517039
temperature scaling,NLL,0.3370139116719663,0.4763078257068093
ensemble temperature scaling,ECE (W),0.015046574711756692,0.0131379762208795
ensemble temperature scaling,ECE (M),0.01449480200861193,0.011591803547927106
ensemble temperature scaling,cwECE (WT),0.04816321197949193,0.02707739163053381
